Rank,Title,Synopsis,keyword,biggenre,genre
224,不幸なエリザベスの幸福な結婚,"侯爵令嬢エリザベスはクラスメイトのアーサーからの交際の申し込みを喜ぶことができなかった。
彼女の周りにいるのは、彼女に貢がせることを当たり前と考えている従兄に、労働力として彼女を使い倒す兄、妻以外にも愛をバラ撒く博愛主義の父。
男運だけを見るなら、彼女は間違いなく不幸だろう。
アーサーは自分にいったい何を求めるのか疑心暗鬼になってしまうが、彼の真っ直ぐな言葉がエリザベスの胸に響いていく。",学園 結婚 婚約 ヤンデレ 公爵 侯爵,1,101
225,えっ？　公爵令嬢って騎士の妻になるには、足りないところだらけなんですか？,公爵令嬢ローラ・スタンフォードは伯爵令息エイブラム・フェントンと婚約した。ローラは騎士となったエイブラムのことを大好き過ぎた。だから自分が騎士の妻として足りないところだらけということに気付かなかったのだ。それを親友の第二王女ジャスミンに指摘され、ローラは思考を巡らせる。ローラの出した結論はいかに？,ほのぼの 身分差 異世界恋愛 自分のできること 恋愛脳 ハッピーエンド,1,101
226,【5/10書籍発売】平凡な令嬢　エリス・ラースの日常　,"☆2023/5/10　ツギクルブックス様より書籍発売中。続編の「平凡な令嬢　エリス・ラースの憂鬱」も一緒に入ってます。☆6/10重版決定。ありがとうございます！
加筆やＱＲコードで読める書き下ろし特典ＳＳ（2023/11/10まで）あり。

　エリス・ラースはラース侯爵家の令嬢。特に秀でた事もなく、特別に美しいわけでもなく、侯爵家としての家格もさほど高くない、どこにでもいる令嬢である。
　そんな令嬢の、平和で平凡などこにでもある生活（たぶん）。

",R15 主従 平凡 チート,1,101
227,とある公爵令嬢の婚約破棄,"よくある悪役令嬢婚約破棄ものにしようとして、何か失敗しました。
悪役令嬢色は薄いです。

恋愛要素は薄いですが、ジャンルを異世界（恋愛）へ変更しました。",悪役令嬢,1,101
228,【第一部完結】運良く人生をやり直せることになったので、一度目の人生でわたしを殺した夫の命、握ります,"「ごきげんよう。このたび、あなたの正妃として嫁いでまいりました、モルディア国第一王女にしてマグドネル国王の養女、ヴィオレーヌと申します。あなたが殺害を計画した、女です」

ヴィオレーヌは、夫となるルーファスに剣を突きつけて微笑んだ。
戦に負けたマグドネル国からの人質として、ヴィオレーヌは今日、ルウェルハスト国へ嫁いで来たのだ。
そして一度目の人生で今日夫ルーファスに殺されたヴィオレーヌは、人生をやり直して今日に戻って来た。殺されぬよう、絶大な力を手に入れて。

「禁術で旦那様の心臓とわたしの心臓をつなげさせていただきました。文字通りの運命共同体ですわ。ふふっ、夫婦らしくていいでしょう？」

笑顔で宣言するヴィオレーヌに、ルーファスは愕然と目を見開く。
祖国モルディア国のため、敵国だった国で自分を殺そうとした夫の側で、うまく立ち回り生きていくことを決意するヴィオレーヌ。
周囲が敵ばかりの国で、ヴィオレーヌは己の力を見せつけ、少しずつ味方を増やしていく。

それはやがて、いつしかヴィオレーヌを疎んじていたはずのルーファスの心まで動かしていき――

力をつけて、覚悟を決めて挑んだヴィオレーヌが、やり直しの人生でトラブルに巻き込まれながらも幸せをつかんでいくお話です。

",チート 魔法 ハッピーエンド ヒロイン最強 ざまぁ要素あり やり直し ファンタジー R15,1,101
229,スライムマスターちゃんのVRMMO,"

【Monster・Evolve・Online】。通称MEO。

プレイヤーはモンスターを使役し進化させ、モンスターの可能性を追求しながら冒険をする。プレイヤーは戦闘に参加できない育成特化型のVRMMO。

MEOを手に入れた清水心（17歳）は白髪紫目のロリっ子（リアル身長のせいでロリ確定）のココロというキャラとなり、丸くてプニプニしてるのが可愛いという理由で最弱筆頭たるスライムを仲間にしてMEOの世界を冒険していく。

周りがガンガン行こうぜ！の中、1人まったりと好奇心の赴くままに遊んでいくココロはスライムの無限の可能性に気づいていく。これは後にスライムマスターと呼ばれる少女のゲームプレイ記録。


※仲間は割とサクサク増えます。
※ストックが切れたら不定期になります。
",ほのぼの 女主人公 冒険 ゲーム VRMMO スライム テイマー ファンタジー風 博士 白衣 モンスター 残酷な描写あり,4,401
230,婚約破棄された公爵令嬢。孤島に追放されましたが、精霊の加護で成り上がります～私を追放した王子ですか？　他国の王の怒りをかって死罪だそうです～,"「お前との婚約を破棄したいから、お前を罪人ということにさせてくれ」

婚約者であり第四王子である彼は、自分が不貞したというのに、悪人になりたくないからと私に罪を押し付けて、私を島流しにした。

私が暮らすことになったのは、守護精霊に見放されて、とても人間が住めるような環境ではなかった島。しかし私はその守護精霊様と意気投合し、気に入られる。

守護精霊様の力を得て、島の水や植物を浄化できるようになった私は、この島でゼロから成り上がることに。

一方私を追放した王子は、他国の王の怒りをかってしまい、悲惨な末路を辿ることに――",女主人公 西洋 婚約破棄 追放 成り上がり ざまぁ ざまあ 短編 残酷な描写あり 異世界転生,2,201
231,さようなら。貴方。今度こそ王国に相応しい、害の与えない結婚相手を見つけて下さいませ。,"ドルク王太子はフィレイリア・アルドス公爵令嬢に婚約破棄を宣言する。
「私はお前のような女を愛するつもりはない。したがってここに婚約破棄を宣言させてもらう」
「まぁ、王太子殿下。婚約破棄でございますか？わたくしと致しましては、喜んで承らせて頂きますわ」

その途端、ドルク王太子の隣にいたメラニーという女性が喉をかきむしり苦しみだした。
魔法が発動したのだ。
フィレイリアは恐ろしい魔法を持つ令嬢だった。
そんなフィレイリアとドルク王太子の物語。",婚約破棄 残酷な描写あり,1,101
232,君を愛することはないと言う夫とお別れするためのいくつかのこと（短編連作＋α版）,フレアとは結婚式当日夜に君を愛することはないと言われ、愛人の存在を告げられたことにより、ショックを受けることもなく婚姻を無効にするため、実家連絡をするような女である。そして、昔好きだった相手が襲来し、結婚の予約をしたので、さっさと別れたいと夫を元夫にすべく丸め込むのであった。ほか、愉快（？）な三姉弟の短編、その後の話等あります。,身分差 年の差 古典恋愛 アイリスIF4大賞 お飾りの妻 政略結婚 愛人 トラバサミ系ヒロイン それは詐欺です 死に戻り ネトコン12感想 R15,1,101
233,つかぬことを伺いますが　～伯爵令嬢には当て馬されてる時間はない～,"「フランシス、俺はお前との婚約を解消したい！」

　魔法学院の大学・魔法医学部に通う伯爵家の令嬢フランシスは、幼馴染で侯爵家の婚約者・ヘクターの度重なるストーキング行為に悩まされていた。
　「真実の愛」を実らせるためとかで、高等部時代から度々「恋のスパイス」として当て馬にされてきたのだ。
　静かに学生生活を送りたいのに、待ち伏せに尾行、濡れ衣、目の前でのいちゃいちゃ。
　忍耐の限界を迎えたフランシスは、ついに反撃に出る。

「本気で婚約解消してくださらないなら、次は法廷でお会いしましょう！」

　そして法学部のモブ系男子・レイモンドに、つきまといの証拠を集めて婚約解消をしたいと相談したのだが。

「高貴な血筋なし、特殊設定なし、成績優秀、理想的ですね。……ということで、結婚していただけませんか？」
「……ちょっと意味が分からないんだけど」

　しかし、フランシスが医学の道を選んだのは濡れ衣を晴らしたり証拠を集めるためでもあったように、法学部を選び検事を目指していたレイモンドにもまた、特殊設定でなくとも、人には言えない事情があって……。

※カクヨムにも公開しました。",女主人公 西洋 学園 近世 近代 魔法 ハッピーエンド ファンタジー 婚約破棄 令嬢,1,101
234,妻の隠し子,"下手に整った顔立ちのせいで幼い頃から男女問わず散々な目に遭わされて来たシリウスは、人間嫌いを拗らせながらも王太子の補佐として多忙な日々を送っていたが、兄が亡くなったことによってその状況が一変する。兄の子である甥が爵位を継げるまでの五年間限定で、当主のお鉢が回って来てしまったのだ。繋ぎと言っても爵位を継ぐのに妻がいないのは問題だと、王太子命令で妻を迎えることになってしまった。
そうして初夜、妻として迎えたサフィニアに、後継である甥の立場が揺るがないよう、自分たちの間には子供はいらないと宣言した彼に対して彼女が望んだのは、養子を迎えることだった。
女の子をひとりだけという条件で許可して、しばらく――。
過労死寸前の忙しさに家庭を顧みることができずにいたシリウスは偶然、使用人たちの不穏な噂話を耳にしてしまう。

どうやら妻と養子の容姿は似ているらしい……。

隠し子なのではと囁かれるくらいによく似た妻と娘に翻弄されながらも家族になっていく物語。
",家族愛 コメディ わりとほのぼの たまにシリアス 恋愛初心者 ちょっと歳の差 ちょい嫉妬 トラウマ たぶん溺愛 かわいいは正義 おうましゃん ハッピーエンド R15,1,101
235,助けて！　悪役令嬢様！,"　乙女ゲームの世界に転生したヒロイン、そして悪役令嬢。冤罪、と大体テンプレ。婚約破棄はない。
　ある日、転生ヒロインさんがやってきて言いました。
「貴方も転生者なんでしょう!?　きちんと悪役令嬢として動いてくれないと困るじゃないの！」
　そこから始まる大体ハッピーエンド。",乙女ゲーム 悪役令嬢 ゆるふわ設定 異世界転生,99,9999
236,王子と死別した悲劇の令嬢は、実はどこにもいない。,"
　ギルベルトは屋敷の廊下を一人で歩いていた。護衛の任務に就いていた時のルーティンであり今はすでにその任を外されて、護衛対象であった元王太子妃、エーリカとは夫婦関係にある。

　しかしギルベルトは、愛していた王太子ハーロルトを早くに失くしたエーリカに、自分を愛してほしいとは思っていない。

　王室に入ってたくさんの苦労をして、まるでいい所のない男を必死で愛した彼女にこれ以上無理をさせたくない。

　そういう思いで、結婚してからも護衛らしく振舞い、エーリカとは距離を置いていた。

　けれども、最後に見回る彼女の部屋の扉が今日は開いていて、エーリカはそのギルベルトの心持ちについて少し話をしようといい部屋に招き入れた。

　そして、ハーロルトを殺したのは自分だと語り始めるのだった。

",シリアス 女主人公 ざまぁ 死別 復讐 クズ王子 ドアマット？ 騎士,1,101
237,勇者の妹に転生しましたが、これって「モブ」ってことでいいんですよね？,"兄が、神託で『勇者』に選ばれた。
それを聞いた私の第一声は「なにやってくれちゃってんの、神さま？」だ。
たしかに兄は強いのだが、とんでもないシスコン。私と離れて魔王討伐に行くなんて思えない。
案の定、兄のストッパー役として魔王討伐に参加することになった私だが……実はちょっと安心していた。
勇者の妹っていうことは「モブ」と同義語よね？
「悪役令嬢」だったり「捨てられヒロイン」だったりしないわよね？
――――これは、ちょっと訳ありの転生者が、出生の秘密を抱えつつ、シスコン兄を宥めすかしてなんとか魔王討伐させる物語。",女主人公 魔王 勇者 冒険 ハッピーエンド コメディ R15 異世界転生,2,201
238,王子様より、記憶喪失でもわたくしを愛してくれる殿方がいいです,マリーン・フィルアダムズ公爵令嬢は盗賊に襲われた際、助けに入った正体不明の男によって裸に剥かれてしまう。当時コーツェン聖王国は第一王子と第二王子で王太子争いが激化しており、マリーンを婚約者とし、フィルアダムズ公爵家をバックにつけた側が勝つという情勢だった。しかしマリーンは男に裸を見られ傷物になったという理由で、両王子からの婚約の申し出を辞退してしまう。一方正体不明の男は、経験や知識、技能の全てをコストとして生まれ変わった異能転生者なのであった。,ハッピーエンド 身分差 異世界恋愛 邪魔者は消えろ 異能転生の秘術 ラブラブ,1,101
239,【書籍化決定】 異世界は猫と共に　～システムエンジニアは失われた古代の魔法理論を解析し、魔法具界に革命を起こす,"◆◆ 第5回アース・スターノベル大賞 大賞を受賞しました！！(更新は続けます！） ◆◆
※異世界転生年間１位！　総合四半期１位、月間１位獲得※
”そこそこ”、”まずまず”、”ぼちぼち”、”まあまあ”……
　地方にあるそこそこの私立大学を卒業し、東京にあるまずまずの大手SIerに就職、SEとして働く「ザ・中の上」こと松本勇34歳(バツイチ)のこれまでの人生を表すとしたら、そんな言葉だろう。
　しかし愛猫の織姫（ブリティッシュショートヘアー）といつも通りの生活を送っていた彼の”そこそこの”人生は、ある日一瞬にして終わりを迎えるのだった。
　転移者が定期的に訪れると言う異世界へ、愛猫と共に転移してしまった勇。
　特殊な力を持つ転移者を巡って過去に起きた悲劇を教訓に、転移者は順番制で貴族家に引き取られ庇護下に置かれると言う。
　ところが、授かったスキルが使えないと判断された勇は、本来引き取るべきだった侯爵家から抜け道のようなルールで体よく拒否され、貧乏子爵家へと引取られる事となってしまうのだが……。　
　これは、愛する猫と温かい子爵家の人たちに囲まれ、実は神スキルだった力とプログラム知識を組み合わせて、失われた古代魔法の理論を復活させ、魔法具界の革命児となった男の物語。
★
　なんと、第5回アース・スターノベル大賞の大賞をいただいてしまいました！！
　複数刊の書籍化とコミカライズまでしていただけるとの事、連載開始時には、想像すらしていませんでした……。
　これでなんと、織姫が絵になっちゃいます！！夢のようですねｗ
　それも皆様の応援あってこそです。本当にありがとうございます！！
　少々更新ペースは落ちると思いますが、連載はもちろん続けますので、引き続きよろしくお願いいたします！
　備忘：総合：四半期１位、月間１位　|　異世界転生：年間１位　｜　ハイファンタジー：四半期１位、月間１位、週間１位、日間１位",男主人公 魔法xプログラム もふもふ 猫 生産系・クラフト系 魔法具・魔導具 微ざまぁ おっさん・アラサー 貧乏貴族 領地発展 ユニークスキル 成り上がり ESN大賞５ 書籍化 コミカライズ R15 異世界転移,2,201
240,よくある卒業パーティのよくある婚約破棄のよくあるざまぁのお話,"この頃流行りの卒業パーティでの婚約破棄の物語は、現実でも起こる。
私、エリザ・シューレリュードにも今起こっているもの。
けれどねえ、婚約者のアレクに言いたいのだけど、こんなに展開の読めてしまうお話、つまらないと思うけどそれでいいのかしら。",婚約破棄 令嬢,1,101
241,魔術師クノンは見えている,"
人生とは、たった一言で全てが変わることがある。


「英雄の傷跡」と呼ばれる呪いを受け、視覚を失って生まれたクノン・グリオン。

視界どころか生きる意味さえ見えない彼は、無気力な幼少期を送っていた。



そんなある日、身体に水の紋章が浮かび上がり、魔力があることが判明する。


だからどうした。

魔力があろうと、魔術が使えようと、見えないことには変わりない。

クノンには相変わらず生きる意味が見えなかった。




そんなクノンを、そんなつもりのない思いがけない一言が覚醒させる。





※火曜日、金曜日、日曜日に更新しています。",日常 青春 異能力バトル 魔術を極める 見えないから仕方ない 蟹,2,201
242,友人達との茶会を楽しんでいたら、婚約者に求婚されました。結婚する気はないので帰って頂けないでしょうか？,"ベオレッタが友人達との茶会を楽しんでいる最中、突然婚約者ハリーが求婚してきた。是非妻にと望むハリーに、ベオレッタは微笑みながら、言った。「お断り致しますわ」

作中、女性差別的な表現がありますが、作者は決して差別を助長する意図は微塵もないことを予めご留意頂きますよう、よろしくお願い致します。
気に入って頂けたら、ブックマークや評価ボタンを押して頂けたら励みになります。
[日間] 異世界〔恋愛〕ランキング - 短編で２５位になっていました。読んで下さった皆様、ありがとうございます。(２０２４年４月１０日午前８時１９分時点)",女主人公 西洋 ヒストリカル 婚約者 令嬢 ざまあ 婚約 婚約解消 令息 女性には優しく 後の祭り 後悔先に立たず ハッピーエンド？ 友情 R15 残酷な描写あり,1,101
243,あなた達が殺した娘の一周忌です。,"中学生の娘がイジメで、学校の教室で首を吊って死んだ。
娘はイジメの証拠を映像で残した。
それを証拠に警察、新聞、テレビへと訴え出る。",イジメ 事なかれ主義 担任　副担任 生活指導 ネットでさらされる 民事裁判 傷害罪 器物破損 一周忌,3,302
244,十三歳の私へ,"十三歳の時、七歳年上の人と婚約をした私。
だけれど、社交界でお姉様方から聞くのは、怖い話ばかり。
結婚とは本当にして幸せなものなの？

頭を空っぽに、お読みくださいませ。
",女主人公,1,101
245,乙女ゲー世界はモブに厳しい世界です,"男が主役の悪役令嬢物！？

異世界に転生した「リオン」は、貧乏男爵家の三男坊として前世でプレイさせられた「あの乙女ゲーの世界」で生きることに。
そこは大地が浮かび、飛行船が空を行き交うファンタジー世界。
だが、リオンは素直に楽しめない。
何故ならそこは設定がふわふわしたあの乙女ゲーの世界だと知っていたからだ。
そんな世界にリオンは、ゲームでは名前すら存在しない「モブ」として転生してしまう。

学園では女子のみが専属使用人という亜人種を奴隷として連れるのが当たり前の世界。
男子は亜人種を連れることも許されず、婚活では常に下手に出て苦労する。
しかし、あの乙女ゲーの攻略対象である貴公子の男子たちは例外で女子に囲まれチヤホヤされていた。
そんな姿を見たリオンは、理不尽な境遇に怒りを募らせていく。

転生した先がふわふわした設定の乙女ゲー世界だと思い込んでしまったリオンは、平和の未来を掴み取るためゲーム知識や卑怯な手を使い様々な困難に立ち向かう！

――はずだったのだが。




※GCノベルズ様より書籍化済み。

全13巻【完結済み】
オーディオブックも発売中！　2024年4月時点で　3巻まで
※書籍の巻末と帯裏のバーコード、またはURLからアクセスしてアンケートに答えるとアンケート用特典が読めます。
3巻からのアンケート特典「マリエルート　※書籍ならほぼ2冊分」もお楽しみください！",男主人公 学園 近代 ロボット チート 冒険 ダンジョン 乙女ゲーム 悪役令嬢 人工知能 飛行船 一人称 完結済み 冒険者 R15 残酷な描写あり 異世界転生,2,202
246,婚約破棄された令嬢が、「仕返しに元婚約者の彼女を寝取る」と言っておりますが、いやどうやって？,"「カロリーナ・ファサンテ伯爵令嬢！　お前との婚約を破棄し、俺はこのヴァンナ嬢と結婚する」
婚約相手からの一方的な宣言に、カロリーナは激怒した。
「私がヴァンナ嬢を寝取って、とっておきの屈辱を彼に与えてやるわ！！」
「いやいやいや、待ってカロリーナ。どうしてターゲットが相手の女の子なの、そもそもどうやって寝取るつもり？」

幼馴染のとんでも発言に慌てるアルド。控室でカロリーナをなだめながら、積年の思いを告白するなら、カロリーナがフリーになった今がチャンスなのではと決意するが──。

カロリーナの&quot;寝取っちゃえ&quot;作戦は成就するのか。
混戦模様の恋、勝者は誰？

わちゃわちゃしながらハッピーエンドです。お楽しみください。

※4/20夜・日間異世界恋愛《短編》4位、総合《短編》5位ありがとうございました！",ハッピーエンド 悪役令嬢 婚約破棄 ざまぁ/ざまあ 幼馴染 ファンタジー 恋愛 ゆるふわ設定 NL 初恋 平和的で健全 by.みこと。,1,101
247,とんでもスキルで異世界放浪メシ,"★㊗アニメ２期決定！★
❖❖❖オーバーラップノベルス様より書籍１４巻まで発売中！　本編コミックは９巻まで、外伝コミック「スイの大冒険」は７巻まで発売中です！❖❖❖
異世界召喚に巻き込まれた俺、向田剛志（むこうだ　つよし）。
ステータスの鑑定で俺以外の３人の召喚者は職業欄に『異世界からやって来た勇者』となってるのに、俺だけ『巻き込まれた異世界人』となっていた。
スキルも聖剣術とか聖槍術とか聖魔法とかいろいろすごいのがそろっている。
それなのに俺のは固有スキルで『ネットスーパー』だけだった。
戦闘スキルじゃない俺はすぐさま役立たず的な扱いに。
しかも、召喚した国の王様の言い分がいかにも胡散臭い。
ネット小説を読むのを趣味にしていた俺は、諸々を総合した結果『ダメだ。これはあかんタイプの異世界召喚だ。』という結論に至った。
そして俺は召喚されたその日のうちに何やかや言いくるめて城から逃げ出したのだった。
",R15 残酷な描写あり 異世界転移 異世界 ネットスーパー 勇者召喚 巻き込まれ ペットが最強 料理 ほのぼの のほほん 旅,2,201
248,【小説１巻３／１９発売＆コミック３／２８連載開始】平民出身の帝国将官、無能な貴族上官を蹂躙して成り上がる〜ムカつく上司は全員ざまぁ！　転生した最強魔法使いの蹂躙下剋上譚〜,"　【小説１巻３月１９日にファンタジア文庫より、コミックが３月２８日にヤングエースUPより連載開始します！】帝国の中心である天空宮殿。そこでは、賄賂、忖度などが横行し、腐った上級貴族が特権階級として君臨し続けていた。ある上級貴族が言った。「天空宮殿に住まわぬ貴族など、人ではない」と。そんな中、平民出身の帝国将官ヘーゼン＝ハイムが地方の最前線に派遣された。前世最強魔法使いの過去を持つ彼が、派遣先のクズ上官どもを次々と蹂躙していき、中央に戻り、更に次々とクズ上官を、ひたすらに蹴散らしていく物語です。

カクヨムでも先行掲載してます。
https://kakuyomu.jp/works/1177354054883819762
",男主人公 西洋 魔法 ミリタリー 日常 オリジナル戦記 剣と魔法 主人公最強 ファンタジー ざまぁ 下剋上 転生 軍人 上司 上官ざまぁ 異世界転生,2,201
249,アラフォー男の令和ダンジョン生活,"
　令和◯年、突然世界は静止した。
　世界中の電子機器が沈黙し、船は漂い、飛行機は墜落。
　人類に未曾有の危機が訪れた。
　原因は世界中に突如として出現したダンジョン。

　――それから10年。
　人々が、なんとか元の生活を取り戻しつつあったある日。
　ある男の家の裏に大きな黒い穴が出現した。

　アラフォー男の令和ダンジョン生活が、今始まる。

",男主人公 現代 チート 冒険 ダンジョン 迷宮 R15,2,202
250,ヒトナードラゴンじゃありません！～人間が好きって言ったら変竜扱いされたのでドラゴン辞めて人間のフリして生きていこうと思います～,"
冒険者「スイラ」の正体は竜(ドラゴン)である。
彼女は前世で人間の記憶を持つ、転生者だ。前世の人間の価値観を持っているために同族の竜と価値観が合わず、ヒトの世界へやってきた。
「ヒトとならきっと仲良くなれるはず！」
そう思っていたスイラだがヒトの世界での竜の評判は最悪。コンビを組むことになったエルフの青年リュカも竜を心底嫌っている様子だ。
「どうしよう……絶対に正体が知られないようにしなきゃ」
正体を隠しきると決意するも、竜である彼女の力は規格外過ぎて、ヒトの域を軽く超えていた。バレないよねと内心ヒヤヒヤの竜は、有名な冒険者となっていく。
いつか本当の姿のまま、受け入れてくれる誰かを、居場所を探して。竜呼んで「ヒトナードラゴン」の彼女は今日も人間の冒険者として働くのであった。

※二章更新中。更新は毎日10時です",女主人公 人外 魔法 冒険 異類婚姻譚 恋愛 竜 エルフ 主人公最強 冒険者 ファンタジー 勘違い R15 残酷な描写あり 異世界転生,2,201
251,婚約破棄の花言葉,今日は私の婚約者のダニエル・モンステラ第一王子18歳の誕生日パーティー。花が大好きな彼のために、パーティー会場は貴族達からの花のプレゼントで溢れかえっている。そんな楽しいパーティーのはずが突然婚約破棄を言い渡されて！？,ＥＳＮ大賞６ ギャグ シリアス ほのぼの 女主人公 西洋 中世 内政 日常 ハッピーエンド 青春 婚約破棄 どんでん返し,1,101
252,悪役令嬢は冷酷に嗤う,"王家主催の夜会で、公爵令嬢リナリアは、聖女であるミシュエラを虐めたとして、婚約者アーレスから婚約破棄を言い渡される。

周囲から冷たい目で見られる中、リナリアは待っていましたとばかりに笑みを浮かべる。

『さぁ、復讐を始めましょう！』

貴族令嬢らしく上品に嗤う彼女は、吹っ切れたように真実を語る。

※カクヨムでも公開中！",ダーク 女主人公 悪役令嬢 ざまぁ 婚約破棄 復讐 聖女 異世界 令嬢 公爵 王族 王太子 R15 残酷な描写あり,1,101
253,身分隠して冒険者やってたら敵国の皇女とベッドインしてて詰んだ,"第四王子であることを隠して冒険者に精を出すこと二年。
俺は長いことパーティを組んでいた女性冒険者に性を出してしまったらしい（激寒ギャグ）。
しかも最悪なことに女性……アンリは《変装》の魔道具で姿を偽っており、その真の姿は敵国の皇女だった。
同じく変装をしている俺。
変装が解けてしまったアンリ。解けてない俺。
皇女であることを知るのは俺だけ。

このままでは俺が第二皇女に手を出したゴミクズ野郎(※事実)として、王国が滅んでしまう。
自らの恋愛と責任逃れのため、目指せ和平交渉。

果たして、国の命運を掛けたこの戦いはどうなるのか。",ギャグ シリアス 男主人公 西洋 内政 魔法 オリジナル戦記 異世界 王子 主人公最強 残酷な描写あり,2,201
254,ムカデで始めるVRMMO〜どうやら俺、魔王って呼ばれてるらしい〜,"新たに発売されたVRMMOの超大作、The Second Life。その種族の選択において、心の赴くままにレア種族になれる可能性のある『ランダム』を選択した主人公ミナトは、超レア種族、ムカデになってしまう。気ままにプレイしていたら、いつのまにか魔王や人類の敵などと呼ばれるようになってしまう。
ミナトの物語は、多くの人を巻き込んでThe Second Lifeの世界を混沌の渦に陥れていく。

※主人公は結構な狂人です。
カクヨムにも掲載しています。",男主人公 人外 魔王 中世 職業もの 魔法 冒険 ゲーム VRMMO 悪役 主人公最強 蟲 人外主人公 ダーク ダークファンタジー R15 残酷な描写あり,4,401
255,婚約破棄された悪役令嬢ですが、前世の記憶があるので王弟殿下と結ばれるバッドエンドはご褒美です,"「カトリーン・アプリコット公爵令嬢！　お前との婚約を破棄する！」

突然、婚約者の王子から婚約の破棄を告げられた公爵令嬢のカトリーン。
王子とその腕に抱きつく聖女の男爵令嬢、他の攻略対象者を見たカトリーンは、前世の記憶を思い出した。ここは前世でプレイした乙女ゲームの世界で、カトリーンは呪われたフランセン王弟殿下に嫁がされてしまう悪役令嬢だと気づく。

ところが、王弟殿下の呪いは狼のケモ耳ともふもふな尻尾が生えてしまう呪いだった。
前世から獣人が好きだったカトリーンにとって、この結婚はバッドエンドではなくご褒美で。

早速、バッドエンドになるために爆走をはじめたカトリーンは──！

「言質は取ったから。カトリーン、覚悟して」
「煽ったカトリーンが悪いから」
「カトリーン、俺のことだけ見て？」

呪いで狼獣人になっているちょっぴり腹黒な王弟殿下と、ひたすら狼獣人を愛でまくるカトリーンの、好きにまっしぐらな恋のハッピーエンドストーリー。


ꕥ氷雨そら先生主催『モフモフヒーロー小説企画』参加作品です
ꕥランキング表紙入りしました
2024年3月23日　夜
日間総合ランキング6位　異世界恋愛ランキング6位　総合短編ランキング3位

2024年3月24日　夜　3月25日　朝
日間総合ランキング5位　異世界恋愛ランキング4位　異世界転生ランキング2位　すべて表紙入りできました♪

2024年3月25日　昼
日間総合ランキング4位　総合短編ランキング3位　異世界転生ランキング2位　すべて表紙入りできました♪

2024年4月1日　
週間異世界転生ランキング3位

沢山のご愛読ありがとうございます！",乙女ゲーム 悪役令嬢 モフモフヒーロー主義 溺愛 獣人 もふもふ 一途 ざまあ 王弟殿下 攻略対象者 公爵令嬢 婚約破棄 聖女 白い結婚 契約結婚 R15 異世界転生 異世界転移,1,101
256,私を婚約破棄した国王が処刑されたら、新しい国王の妃になれですって？　喜んで…と言うとでも？,"幼い頃から王子の婚約者だったアイリスは、他の女性を好きになった王子によって冤罪をかけられて、田舎で平民として生きる事に。
面倒な貴族社会から解放されて、田舎暮らしを満喫しているアイリス。
一方、貴族たちの信頼を失った王子は、国王に即位すると隣国に戦争を仕掛けて敗北。処刑される。
隣国は、アイリスを新しい国王の妃にと言い出すが、それには思惑があって…。",婚約破棄 追放 田舎,1,101
257,【フィリップ視点】姉のやらかしの尻拭いをさせられる第三王女は、強制的に姉の元婚約者と婚約させられる,アリシアが帰国して二週間が経ち、その日もフィリップは彼女と二人、帰国してから日課になりつつあったお茶会をしていた。今日も今日とて愛らしいアリシアに、感情の赴くまま触れたくなるのを理性で押し止めていると、ふと彼女が言葉を漏らす。「思えばあれが全ての始まりだったなぁ」と。その言葉に、フィリップは彼女と出会った日からこれまでの記憶を呼び起こす──。これは、フィリップ視点で紡ぐ過去と、相変わらずアリシアに翻弄されながらも、前作からほんの少しだけ進展した？二人のお話です。,西洋 貴族 王女 王配 婚約破棄 ざまぁ？ 溺愛 両思い R15,1,101
258, 婚約者の様子がおかしいので尾行したら、隠し妻と子供がいました,"婚約者の様子がおかしい…

ご両親が事故で亡くなったばかりだと分かっているけれど…何かがおかしいわ。
忌明けを過ぎて…もう2か月近く会っていないし。

だから私は婚約者を尾行した。
するとそこで目にしたのは、婚約者そっくりの小さな男の子と美しい女性と一緒にいる彼の姿だった。

まさかっ　隠し妻と子供がいたなんて！！！


※誤字脱字報告ありがとうございます。
※この作品は、他投稿サイトにも公開しています。",ほのぼの 女主人公 ハッピーエンド 隠し妻 隠し子 婚約破棄,1,101
259,恋の魔法が解けた時 〜 理不尽な婚約破棄の後には、王太子殿下との幸せな結婚が待っていました 〜,"　侯爵令嬢のクラリッサは、幼少の頃からの婚約者であるダリウスのことが大好きだった。優秀で勤勉なクラリッサはダリウスの苦手な分野をさり気なくフォローし、助けてきた。
　しかし当のダリウスはクラリッサの細やかな心遣いや愛を顧みることもなく、フィールズ公爵家の長女アレイナに心を移してしまい、無情にもクラリッサを捨てる。
　傷心のクラリッサは長い時間をかけてゆっくりと元の自分を取り戻し、ようやくダリウスへの恋の魔法が解けた。その時彼女のそばにいたのは、クラリッサと同じく婚約者を失ったエリオット王太子だった。
　一方様々な困難を乗り越え、多くの人を傷付けてまでも真実の愛を手に入れたと思っていたアレイナ。やがてその浮かれきった恋の魔法から目覚めた時、そばにいたのは公爵令息の肩書きだけを持った無能な男ただ一人だった─────



※※作者独自の架空の世界のお話ですので、その点ご理解の上お読みいただけると嬉しいです。

※こちらの作品はカクヨム、アルファポリスにも投稿しています。",悪役令嬢 女主人公 ハッピーエンド 婚約破棄 王太子 溺愛 真実の愛 ざまぁ 悪役姉妹の確執 侯爵令嬢,1,101
