Rank,Title,Synopsis,keyword,biggenre,genre
93,前世を思い出した私は、ドアマットヒロインにはなれない,"　母の死をきっかけに、前世の記憶を思い出した伯爵令嬢のアリシア。　しかし実は彼女、将来の女伯爵であるにもかかわらず、ろくでなしの父や、その父が連れてきた継母や義妹、更には使用人にも虐められ、数年後に美麗な第二王子に助けられたことにより幸せになる、という小説のドアマット主人公だった。　だが、その小説を知らないアリシアは、記憶を取り戻して以来、自らの手で、未来を切り開いていく…。助けてくれる王子は、最後の方にちょろっと顔出します。
",女主人公 西洋 ざまぁ ハッピーエンド 異世界 貴族 令嬢 恋愛まで辿り着かない 侍女 断罪 ドアマットヒロイン？ 乙女向け小説 異世界転生,3,302
94,あの国に思い知らせてやろう。絶対だ。,"我が国を、兄を、私達を馬鹿にしたかの国に報復を考えよう。
かの国に、あの姫に、思い知らせてやろう。絶対だ。

「逃した魚は大きかっただろう。思い知るが良い！」というシリーズの２つ目です。→https://ncode.syosetu.com/s8970h/
",シリアス 男主人公 西洋 ヒストリカル 婚約破棄,2,201
95,さらば『繊細』な婚約者！　気を遣い続ける日々に別れを告げて、わたしは新しい恋に生きるのよ！,"　ミレーヌの婚約者であるバスティアンは繊細な美少年だ。
婚約当初は喜んでいたミレーヌだったが、「些細なことでも傷ついて落ち込んだり、傷ついたりする自分は嫌われてしまうのではないか」などと、様々な不安を抱えているナイーブなバスティアンに対して、次第に三歳児とか五歳児とかの引っ込み思案な男の子の面倒を見ている親戚のお姉さんのような気分になってきた。
「婚約者、もう辞めたい……」そう祈った時に現れた男爵令嬢。男爵令嬢はミレーヌにとって神の御使いのように感じられた。",ＥＳＮ大賞６ 女主人公 西洋 婚約破棄 繊細な婚約者,1,101
96,【書籍化＆コミカライズ】断罪ループ五回目の悪役令嬢はやさぐれる～もう勝手にしてとは言ったけど、溺愛して良いとまでは言っていない～,"【2024年4月10日コミカライズ連載スタート】【ノベル書籍全1巻発売中】学園の卒業パーティーで公爵令嬢シャルロッテは、婚約者であるアロイス王子から婚約破棄を言い渡される。彼の隣りにはもちろん、浮気相手の愛らしい男爵令嬢がいた。またなのね――と５度目の人生でも婚約破棄されたシャルロッテは、どんなに足掻いてもまた死を迎えることを知り、やさぐれて床で寝転がることにした。
",ハッピーエンド 公爵令嬢ヒロイン 魔術師ヒーロー 婚約破棄 ざまぁ ループ R15 残酷な描写あり,1,101
97,聖女は不幸な職じゃない,"西の果てでスタンピードとの戦いに身を投じて十五年。
かつての貴族令嬢は、今や……",女主人公 西洋 近代 聖女 スタンピード,2,201
98,予言姫は最後に微笑む,"ラズロ伯爵家の娘リリアは、幼い頃に伯爵家の危機を次々と予言し『ラズロの予言姫』と呼ばれているが、実は一度殺されて死に戻りをしていた。
無事に家の危機を避けて、リリアも16歳。今宵はデビュタントなのだが、そこには…。",西洋 超能力 死に戻り,1,101
99,ゲームの悪役キャラに転生した俺が、裏でこっそり英雄ムーブで楽しんでたら、俺のことが大嫌いな許嫁にバレてしまった,ブラック企業の社畜だった俺は気が付けば異世界に転生していた。それも大好きだったゲームの悪役に……。このままでは将来主人公に殺されるという破滅の未来を迎えてしまうため、全力で強くなるための行動を開始する。ゲーム内知識を活かしながら、とにかく、筋トレだ！　そんな生活をしていると、だんだんと俺のことが大嫌いだった許嫁の様子も変わっていき……？,男主人公 チート ゲーム 主人公最強 成り上がり 無双 ざまぁ ゲーム世界転生 知識チート 最強 冒険者 影の英雄 スローライフ 追放 異世界転生 異世界転移,2,201
100,死に戻り令嬢は橙色の愛に染まる,"塔の上から落ちて死んだミランダ。
目が覚めると、子供の頃に戻っていた。
人生をやり直せると分かった時、ミランダの心に浮かんだのは、子供時代の苦い思い出だった。
父親の言うことに従い、いい子でいようと努力した結果、周囲は敵だらけで、誰かに殺されてしまった。
二度目の人生では、父や継母に反抗して、自分の好きなように生きると決意する。
一度目の人生で、自分を突き落としたのは誰なのか。
死の運命から逃れて、幸せになることはできるのか。
執愛の色に染まる時、全てが明らかに……


※公開していた短編（死に戻り令嬢は執愛の色に染まる、現在削除済み）を修正して、新たにお話を加えて連載形式にしました。
プロローグ
本編１２話
エピローグ（ヒーロー視点一話）
※アルファポリスでも公開しています。
",女主人公 西洋 中世 ハッピーエンド 死に戻り やり直し 幼馴染 溺愛 執着愛 西洋風異世界 完結,1,101
101,クズ王子のやり直し人生～真実の愛を見つけたと、本物の聖女の婚約者を捨てて、転落人生を味わった王子が生まれ変わってみたら・・・。,"アレクシス王子は、本物の聖女でかつ自分の婚約者であるルーナの見栄えだけで婚約破棄し、本物の聖女は、容姿端麗なだけの強欲な妹のオデットだと決めつける。そして、オデットとの愛こそが真実の愛だと宣言する。

その後は、傲慢なオデットと共に見事な転落人生を突き進み、最後に見事なざまあで命を落とした。

・・・はずだったがアレクシスは、ルーナとの婚約が決まった少年の頃まで人生が遡り、そこからやり直し人生が始まった。今度こそアレクシスはルーナを幸せにし、やり直すことが出来るのだろうか？
",ほのぼの 男主人公 学園 魔法 日常 ハッピーエンド 青春 悪役令嬢 ラブコメ R15 異世界転生,1,101
102,道が分かたれたそのあとも。,迎えに来た実の父を見て前世を思い出したグローリア。乙女ゲーム『天蓋のエリュシオン』のヒロインは双子の姉ディーナだった。実父に引き取られたディーナからの手紙で、王太子を攻略してしまったと知ったグローリアは、最愛の半身に会いに行くことにする。決別のために。,乙女ゲーム 双子 姉がヒロイン 異世界転生,1,101
